Message,Label
Can you send me the notes from yesterday's meeting? #39,ham
"Hey, are you free for lunch tomorrow? #34",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #1,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #26",ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #33,spam
"Hey, are you free for lunch tomorrow? #13",ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #46,spam
Act now and save 70% on your car insurance. Offer expires today! #24,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #39,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #35,spam
"Hey, are you free for lunch tomorrow? #31",ham
Don't forget to pick up groceries on your way home. #10,ham
Act now and save 70% on your car insurance. Offer expires today! #7,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #4",ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #10,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #33,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #3,spam
"Hey, are you free for lunch tomorrow? #48",ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #30,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #35,spam
Don't forget to pick up groceries on your way home. #2,ham
Don't forget to pick up groceries on your way home. #26,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #40,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #9,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #22,spam
"Hey, are you free for lunch tomorrow? #8",ham
Can you send me the notes from yesterday's meeting? #22,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #45,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #44,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #45",ham
Electricity bill payment received. Thank you! #35,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #37",ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #9,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #22",ham
Library notice: Your book loan is due in 2 days. Please return or renew. #41,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #15,spam
Don't forget to pick up groceries on your way home. #15,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #46,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #45,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #39,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #27,ham
"Hey, are you free for lunch tomorrow? #46",ham
"Hey, are you free for lunch tomorrow? #39",ham
"Hi John, please confirm your appointment for Monday at 10 AM. #36",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #35,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #33",ham
Don't forget to pick up groceries on your way home. #42,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #19,ham
Act now and save 70% on your car insurance. Offer expires today! #23,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #6",ham
Your Amazon order has been shipped and will arrive soon. #4,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #10,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #22,ham
Your Amazon order has been shipped and will arrive soon. #5,ham
"Hey, are you free for lunch tomorrow? #32",ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #6,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #26,spam
Electricity bill payment received. Thank you! #47,ham
Electricity bill payment received. Thank you! #7,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #12,ham
Can you send me the notes from yesterday's meeting? #41,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #9",ham
Act now and save 70% on your car insurance. Offer expires today! #33,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #35,ham
Your package has been delivered. Thank you for shopping with us! #41,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #4,ham
Electricity bill payment received. Thank you! #14,ham
Act now and save 70% on your car insurance. Offer expires today! #15,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #48,ham
Electricity bill payment received. Thank you! #49,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #23,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #48,spam
Electricity bill payment received. Thank you! #23,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #48,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #46,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #38",ham
Exclusive deal just for you! Subscribe to our service and save big. #45,spam
Can you send me the notes from yesterday's meeting? #3,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #28,ham
Can you send me the notes from yesterday's meeting? #28,ham
Don't forget to pick up groceries on your way home. #16,ham
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #16,spam
Your Amazon order has been shipped and will arrive soon. #46,ham
Exclusive deal just for you! Subscribe to our service and save big. #3,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #41",ham
Your package has been delivered. Thank you for shopping with us! #19,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #14,spam
Your Amazon order has been shipped and will arrive soon. #18,ham
"Hey, are you free for lunch tomorrow? #17",ham
Your package has been delivered. Thank you for shopping with us! #45,ham
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #34,spam
Don't forget to pick up groceries on your way home. #4,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #34,spam
Act now and save 70% on your car insurance. Offer expires today! #26,spam
Exclusive deal just for you! Subscribe to our service and save big. #13,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #16,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #31,ham
"Hey, are you free for lunch tomorrow? #19",ham
Exclusive deal just for you! Subscribe to our service and save big. #26,spam
Act now and save 70% on your car insurance. Offer expires today! #20,spam
Your package has been delivered. Thank you for shopping with us! #49,ham
"Hey, are you free for lunch tomorrow? #42",ham
Exclusive deal just for you! Subscribe to our service and save big. #5,spam
Don't forget to pick up groceries on your way home. #39,ham
Can you send me the notes from yesterday's meeting? #4,ham
Act now and save 70% on your car insurance. Offer expires today! #39,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #43",ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #14,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #22,spam
Your package has been delivered. Thank you for shopping with us! #35,ham
Act now and save 70% on your car insurance. Offer expires today! #37,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #26,ham
Your package has been delivered. Thank you for shopping with us! #37,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #18,ham
Can you send me the notes from yesterday's meeting? #17,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #28,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #10,spam
Your package has been delivered. Thank you for shopping with us! #0,ham
Don't forget to pick up groceries on your way home. #9,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #37,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #43",ham
Your Amazon order has been shipped and will arrive soon. #41,ham
Exclusive deal just for you! Subscribe to our service and save big. #34,spam
Can you send me the notes from yesterday's meeting? #42,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #24,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #32,ham
Act now and save 70% on your car insurance. Offer expires today! #21,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #23,spam
Can you send me the notes from yesterday's meeting? #32,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #6,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #19,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #11,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #8,spam
Exclusive deal just for you! Subscribe to our service and save big. #2,spam
Don't forget to pick up groceries on your way home. #35,ham
Electricity bill payment received. Thank you! #37,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #44,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #12,spam
"Hey, are you free for lunch tomorrow? #35",ham
Act now and save 70% on your car insurance. Offer expires today! #43,spam
Electricity bill payment received. Thank you! #43,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #6,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #36",ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #42,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #27,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #6,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #35,spam
Can you send me the notes from yesterday's meeting? #45,ham
"Hey, are you free for lunch tomorrow? #40",ham
Don't forget to pick up groceries on your way home. #34,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #33",ham
Your Amazon order has been shipped and will arrive soon. #8,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #36,spam
Exclusive deal just for you! Subscribe to our service and save big. #9,spam
Act now and save 70% on your car insurance. Offer expires today! #27,spam
Don't forget to pick up groceries on your way home. #5,ham
Your Amazon order has been shipped and will arrive soon. #9,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #15,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #27,spam
